id,way,df1,df2,f stat,f_crit,pvalue,alpha,Reject
ANOVA,1,20,170,14.890603554142269,1.6326540035420818,1.1102230246251565e-16,0.05,True


id,Test,Group 1,Group 2,Size 1,Size 2,muDiff,t stat,pvalue,tails,DF,alpha
,,0 min,10 m,11,12,-1.016846151655694,-4.701102828648494,5.324328763656183e-06,,,
,,0 min,15 m,11,12,-0.6408680580230818,-2.9628736219900773,0.0034848827803879434,,,
,,0 min,20 m,11,12,-0.4474975336884408,-2.0688792675376932,0.040070997673229636,,,
,,2.5 m,5 m,11,11,0.8339620606452118,3.774410157796648,0.00022133183182360128,,,
,,2.5 m,7.5 m,11,12,1.2872042241756316,5.951027507423097,1.4821555760491378e-08,,,
,,2.5 m,10 m,11,12,1.3727079464727006,6.346329972890687,1.9316164223681653e-09,,,
,,2.5 m,15 m,11,12,1.7486860401053126,8.084559179549103,1.1191048088221578e-13,,,
,,2.5 m,20 m,11,12,1.9420565644399537,8.978553534001488,4.440892098500626e-16,,,
,,5 m,7.5 m,11,12,0.4532421635304198,2.0954379515192305,0.03761364174258808,,,
,,5 m,10 m,11,12,0.5387458858274887,2.49074041698682,0.01370749232639934,,,
,,5 m,15 m,11,12,0.9147239794601009,4.228969623645237,3.827402024270121e-05,,,
,,5 m,20 m,11,12,1.1080945037947418,5.122963978097622,8.095049839340618e-07,,,


id,Test,Group 1,Group 2,Size 1,Size 2,muDiff,t stat,pvalue,tails,DF,alpha,Reject
Holm-Sidak,Protected,0 min,2.5 m,3,4,-1.6790727305042343,-4.242604665560439,0.002026890015693894,2,170,0.05,True
,,0 min,5 m,3,4,-1.0755104512996234,-2.717550928941901,0.2581866345563212,,,,False
,,0 min,7.5 m,3,4,-0.46865764611749877,-1.1841828408299906,0.9959732832837623,,,,False
,,0 min,10 m,3,4,-0.4050854509138317,-1.0235515071950259,0.9968466509023974,,,,False
,,0 min,15 m,3,4,-0.43449034567873207,-1.097850458904173,0.9968466509023974,,,,False
,,0 min,20 m,3,4,-0.2419545685146121,-0.6113598074608046,0.9999607367255997,,,,False
,,0 min,0 min,3,12,-0.06028765551096732,-0.18024178090771273,0.9999875420381776,,,,False
,,0 min,2.5 m,3,12,-1.552992097127682,-4.642974734205347,0.00041389551373360867,,,,True
,,0 min,5 m,3,12,-1.06339051479342,-3.1792146926640394,0.07600004677857619,,,,False
,,0 min,7.5 m,3,12,-0.655842208470154,-1.9607690272116083,0.8060940261799965,,,,False
,,0 min,10 m,3,12,-0.44155448171141287,-1.320113802351611,0.9918200110873572,,,,False
,,0 min,15 m,3,12,-0.4602491602742294,-1.3760052137707584,0.9887808632443347,,,,False
,,0 min,20 m,3,11,-0.08609880160196345,-0.25510061905516995,0.9999875420381776,,,,False
,,0 min,0 min,3,11,-0.10493151925941914,-0.3108997456808606,0.9999875420381776,,,,False
,,0 min,2.5 m,3,11,-2.494485617387814,-7.390867391647151,5.297655647495958e-10,,,,True
,,0 min,5 m,3,11,-1.6605235567426018,-4.919935927088099,0.0001340961653693018,,,,True
,,0 min,7.5 m,3,12,-1.207281393212182,-3.6094047201706623,0.019974895988751906,,,,True
,,0 min,10 m,3,12,-1.121777670915113,-3.3537745575703166,0.04704262187851227,,,,True
,,0 min,15 m,3,12,-0.7457995772825009,-2.2297142403416785,0.6173848744703805,,,,False
,,0 min,20 m,3,12,-0.5524290529478599,-1.6515950982762937,0.9484140339542639,,,,False
,,2.5 m,2.5 m,4,12,0.1260806333765523,0.4214348663690534,0.9999864774561791,,,,False
,,2.5 m,20 m,4,11,1.5929739289022709,5.265150996326403,2.9727032208937132e-05,,,,True
,,2.5 m,0 min,4,11,1.5741412112448152,5.202904464642098,3.9171820460537354e-05,,,,True
,,2.5 m,2.5 m,4,11,-0.8154128868835793,-2.6951300934039697,0.2672263161806936,,,,False
,,2.5 m,5 m,4,11,0.018549173761632565,0.06130935286517359,0.9999875420381776,,,,False
,,5 m,20 m,4,11,0.9894116496976599,3.2702366552680613,0.06057230958797488,,,,False
,,5 m,0 min,4,11,0.9705789320402043,3.2079901235837567,0.07090806244515135,,,,False
,,5 m,2.5 m,4,11,-1.4189751660881902,-4.690044434462312,0.0003518207121309125,,,,True
,,5 m,5 m,4,11,-0.5850131054429784,-1.9336049881931685,0.8157547825009976,,,,False
,,7.5 m,20 m,4,11,0.38255884451553535,1.2644463570991824,0.9940521709392046,,,,False
,,7.5 m,0 min,4,11,0.36372612685807965,1.2021998254148776,0.9959732832837623,,,,False
,,7.5 m,2.5 m,4,11,-2.025827971270315,-6.695834732631191,2.3371355295509488e-08,,,,True
,,7.5 m,5 m,4,11,-1.191865910625103,-3.9393952863620476,0.006172220806105133,,,,True
,,10 m,10 m,4,12,-0.03646903079758118,-0.12190072899527338,0.9999875420381776,,,,False
,,10 m,20 m,4,11,0.31898664931186826,1.0543253997864033,0.9968466509023974,,,,False
,,10 m,0 min,4,11,0.30015393165441256,0.9920788681020984,0.9968466509023974,,,,False
,,10 m,2.5 m,4,11,-2.089400166473982,-6.905955689943971,7.712392724457118e-09,,,,True
,,10 m,5 m,4,11,-1.25543810582877,-4.149516243674826,0.002834300630949693,,,,True
,,10 m,10 m,4,12,-0.7166922200012813,-2.395602574916566,0.47384128682539584,,,,False
,,15 m,20 m,4,11,0.34839154407676864,1.151515446754075,0.9959732832837623,,,,False
,,15 m,0 min,4,11,0.32955882641931294,1.08926891506977,0.9968466509023974,,,,False
,,15 m,2.5 m,4,11,-2.0599952717090817,-6.808765642976299,1.2974989860303765e-08,,,,True
,,15 m,5 m,4,11,-1.2260332110638696,-4.052326196707154,0.004073652081873047,,,,True
,,20 m,20 m,4,11,0.15585576691264866,0.5151397217208894,0.9999864774561791,,,,False
,,20 m,0 min,4,11,0.13702304925519299,0.45289319003658474,0.9999864774561791,,,,False
,,20 m,2.5 m,4,11,-2.2525310488732013,-7.445141368009483,3.980336060749323e-10,,,,True
,,20 m,5 m,4,11,-1.4185689882279897,-4.68870192174034,0.0003518207121309125,,,,True
,,0 min,20 m,12,11,-0.02581114609099613,-0.11933059067142705,0.9999875420381776,,,,False
,,0 min,0 min,12,11,-0.04464386374845182,-0.20639837580927292,0.9999875420381776,,,,False
,,0 min,2.5 m,12,11,-2.4341979618768463,-11.253831177348454,0.0,,,,True
,,0 min,5 m,12,11,-1.6002359012316345,-7.398241621444588,5.14046583077743e-10,,,,True
,,2.5 m,20 m,12,11,1.4668932955257186,6.781769503373675,1.4845198514912283e-08,,,,True
,,2.5 m,0 min,12,11,1.448060577868263,6.694701718235829,2.3371355295509488e-08,,,,True
,,2.5 m,2.5 m,12,11,-0.9414935202601316,-4.352731083303352,0.0013188322953968656,,,,True
,,2.5 m,5 m,12,11,-0.10753145961491972,-0.4971415273994854,0.9999864774561791,,,,False
,,5 m,20 m,12,11,0.9772917131914564,4.518233982415409,0.000686073548218924,,,,True
,,5 m,0 min,12,11,0.9584589955340007,4.431166197277563,0.0009708138931154853,,,,True
,,5 m,2.5 m,12,11,-1.4310951025943939,-6.616266604261619,3.4975831453287753e-08,,,,True
,,5 m,5 m,12,11,-0.5971330419491819,-2.7606770483577514,0.2364163225537087,,,,False
,,7.5 m,20 m,12,11,0.5697434068681905,2.6340487568062305,0.30308697643771554,,,,False
,,7.5 m,0 min,12,11,0.5509106892107348,2.546980971668385,0.3618980323766361,,,,False
,,7.5 m,2.5 m,12,11,-1.8386434089176595,-8.500451829870796,8.206768598029157e-13,,,,True
,,7.5 m,5 m,12,11,-1.004681348272448,-4.64486227396693,0.00041389551373360867,,,,True
,,10 m,20 m,12,11,0.35545568010944945,1.6433495868581727,0.9484140339542639,,,,False
,,10 m,0 min,12,11,0.33662296245199375,1.5562818017203266,0.9607775844623002,,,,False
,,10 m,2.5 m,12,11,-2.052931135676401,-9.491150999818855,0.0,,,,True
,,10 m,5 m,12,11,-1.2189690750311888,-5.6355614439149875,5.194342031167309e-06,,,,True
,,10 m,10 m,12,12,-0.6802231892037002,-3.2154999872946335,0.07069379378510099,,,,False
,,15 m,20 m,12,11,0.374150358672266,1.729779186979322,0.9250903420831222,,,,False
,,15 m,0 min,12,11,0.3553176410148103,1.642711401841476,0.9484140339542639,,,,False
,,15 m,2.5 m,12,11,-2.0342364571135843,-9.404721399697706,0.0,,,,True
,,15 m,5 m,12,11,-1.2002743964683724,-5.549131843793839,7.800718348049962e-06,,,,True
,,20 m,0 min,11,11,-0.01883271765745569,-0.08523457382488442,0.9999875420381776,,,,False
,,20 m,2.5 m,11,11,-2.40838681578585,-10.900063792317827,0.0,,,,True
,,20 m,5 m,11,11,-1.5744247551406383,-7.1256536345211785,2.3369599588818346e-09,,,,True
,,20 m,7.5 m,11,12,-1.1211825916102185,-5.18347307925393,4.225218895814731e-05,,,,True
,,20 m,10 m,11,12,-1.0356788693131496,-4.78817061378634,0.00023672509485572757,,,,True
,,20 m,15 m,11,12,-0.6597007756805374,-3.049941407127923,0.11042133704602652,,,,False
,,20 m,20 m,11,12,-0.4663302513458965,-2.1559470526755393,0.6747403435579842,,,,False
,,0 min,2.5 m,11,11,-2.3895540981283943,-10.81482921849294,0.0,,,,True
,,0 min,5 m,11,11,-1.5555920374831826,-7.040419060696294,3.712614216055954e-09,,,,True
,,0 min,7.5 m,11,12,-1.1023498739527628,-5.096405294116084,6.126078219792497e-05,,,,True
,,0 min,10 m,11,12,-1.016846151655694,-4.701102828648494,0.0003406998966328789,,,,True
,,0 min,15 m,11,12,-0.6408680580230818,-2.9628736219900773,0.13938813564688013,,,,False
,,0 min,20 m,11,12,-0.4474975336884408,-2.0688792675376932,0.7298209796252859,,,,False
,,2.5 m,5 m,11,11,0.8339620606452118,3.774410157796648,0.011225689201529776,,,,True
,,2.5 m,7.5 m,11,12,1.2872042241756316,5.951027507423097,1.0967945329731776e-06,,,,True
,,2.5 m,10 m,11,12,1.3727079464727006,6.346329972890687,1.4487122135253827e-07,,,,True
,,2.5 m,15 m,11,12,1.7486860401053126,8.084559179549103,9.736211836752773e-12,,,,True
,,2.5 m,20 m,11,12,1.9420565644399537,8.978553534001488,3.952393967665557e-14,,,,True
,,5 m,7.5 m,11,12,0.4532421635304198,2.0954379515192305,0.7178161701200793,,,,False
,,5 m,10 m,11,12,0.5387458858274887,2.49074041698682,0.39991584518665624,,,,False
,,5 m,15 m,11,12,0.9147239794601009,4.228969623645237,0.002102897206122445,,,,True
,,5 m,20 m,11,12,1.1080945037947418,5.122963978097622,5.5044846164475913e-05,,,,True


